name,location,price,area_type,area,bhk
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.68 Cr,Carpet Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Carpet Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.63 Cr,Super Built-up Area,"1,496 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.61 Cr,Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.68 Cr,Carpet Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.67 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.61 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.62 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.63 Cr,Carpet Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.59 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
"DLF Express Greens
3.9","3 BHK Flat in Sector 1A IMT Manesar, Gurgaon",₹1.34 Cr,Super Built-up Area,"1,958 sqft
(182 sqm)","3 BHK
(4 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.67 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.6 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.68 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
"DLF Express Greens
3.9","3 BHK Flat in Sector 1A IMT Manesar, Gurgaon",₹1.45 Cr,Super Built-up Area,"1,958 sqft
(182 sqm)","3 BHK
(3 Baths)"
"DLF Express Greens
3.9","3 BHK Flat in Sector 1A IMT Manesar, Gurgaon",₹1.38 Cr,Super Built-up Area,"1,954 sqft
(182 sqm)","3 BHK
(4 Baths)"
"DLF Express Greens
3.9","3 BHK Flat in Sector 1A IMT Manesar, Gurgaon",₹1.45 Cr,Super Built-up Area,"1,950 sqft
(181 sqm)","3 BHK
(4 Baths)"
